name,address,lat,lon,hours,source,state,phone,website,facility_type,osm_id
Jewish Family Service of Central NJ,"655 Westfield Avenue, Elizabeth, NJ 07208",40.664,-74.2107,Mon/Tue/Wed/Fri 10:30am-12:30pm & 1:30-3:30pm; closed Thu; (908) 352-8357,manual_directory,NJ,,,,
Cranford-Elmora Soup Kitchen,"402 Union Avenue, Elizabeth, NJ 07208",40.664,-74.2107,Call for hours; (908) 276-8440,manual_directory,NJ,,,,
Heard A.M.E. Church Food Store,"310 E 8th Avenue, Roselle, NJ 07203",40.6528,-74.2632,Saturdays except 1st Saturday of month; (908) 241-5588,manual_directory,NJ,,,,
Helping Hands at St. Joseph's,"160 East 3rd Avenue, Roselle, NJ 07203",40.6528,-74.2632,Call for hours; (908) 241-1250,manual_directory,NJ,,,,
Jefferson Park Ministries,"70 West Grand Street, Elizabeth, NJ 07201",40.666,-74.2115,Mon-Thu 9am-6pm; Fri 9am-2pm; (908) 469-9508,manual_directory,NJ,,,,
Liberty Baptist Church,"515-517 Court Street, Elizabeth, NJ 07206",40.6625,-74.2185,Call for hours; (908) 354-3362,manual_directory,NJ,,,,
Mount Teman A.M.E. Church,"160 Madison Avenue, Elizabeth, NJ 07201",40.66,-74.205,Mon-Fri 10am-4pm; (908) 351-2625,manual_directory,NJ,,,,
Rahway Food For Friends,"1221 New Brunswick Avenue, Rahway, NJ 07065",40.6082,-74.2776,Mon-Fri 9am-5pm; Sat 9am-3pm; (732) 381-7201,manual_directory,NJ,,,,
St. Joseph Social Service Center,"118 Division Street, Elizabeth, NJ 07201",40.6595,-74.214,Call for hours; (908) 352-2989,manual_directory,NJ,,,,
St. Teresa of Avila,"306 Morris Avenue, Summit, NJ 07901",40.7155,-74.3646,Call for hours; (908) 277-3700,manual_directory,NJ,,,,
Westfield Food Pantry at Holy Trinity,"315 First Street, Westfield, NJ 07090",40.6501,-74.3474,Call for hours; (908) 232-8137,manual_directory,NJ,,,,
Cranford Family Care,"61 Myrtle Street, Cranford, NJ 07016",40.6584,-74.3057,Mon-Fri 9am-4pm; (908) 276-3530,manual_directory,NJ,,,,
Elizabethport Presbyterian Center,"184 First Street, Elizabeth, NJ 07206",40.658,-74.198,Last week of month: Wed & Fri; (908) 351-4850,manual_directory,NJ,,,,
The Salvation Army - Plainfield Corps,"615 Watchung Avenue, Plainfield, NJ 07060",40.6337,-74.4079,Fri 9:30-11:30am & 1-3pm; (908) 756-2595,manual_directory,NJ,,,,
The Manna From Heaven Food Pantry (Calvary Baptist Church),"324 Monroe Ave, Plainfield, NJ 07060",40.6337,-74.4079,"3rd Fri & 3rd Sat, by appointment; (908) 273-4897",manual_directory,NJ,,,,
Faith Baptist Church Food Pantry,"Cranford, NJ 07016",40.6584,-74.3057,2nd & 4th Sat 12-3:30pm; (347) 526-9549,manual_directory,NJ,,,,
St Patrick's Church Food Pantry,"Elizabeth, NJ 07206",40.664,-74.2107,Call for hours; (908) 354-0023,manual_directory,NJ,,,,
Fanwood Presbyterian Church Food Pantry,"Fanwood, NJ 07023",40.6412,-74.3818,3rd Sat 9-11am; (908) 889-8891,manual_directory,NJ,,,,
Bianca F.L.O.W.E.R.S. Food Pantry (Boys and Girls Club),"Plainfield, NJ 07060",40.6337,-74.4079,2nd/3rd/4th Tue 10am-1pm; (908) 312-0696,manual_directory,NJ,,,,
St Mary Assumption of Parish,"Elizabeth, NJ 07202",40.664,-74.2107,Call for hours; (908) 352-5154,manual_directory,NJ,,,,
Golden Kitchen Food Pantry,"Vauxhall, NJ 07088",40.697,-74.2632,2nd Sat 9am-12pm; 4th Wed 11am-2:30pm; (908) 687-4008,manual_directory,NJ,,,,
El Centro Hispanoamericano Food Pantry,"Plainfield, NJ 07060",40.6337,-74.4079,Tue 10am; (908) 753-8730,manual_directory,NJ,,,,
Community FoodBank of NJ (Hillside warehouse),"Hillside, NJ 07205",40.6976,-74.2249,Call for hours; (908) 355-3663,manual_directory,NJ,,,,
Community FoodBank of San Benito,"1135 San Felipe Rd, Hollister, 95023-2800",36.8729716,-121.4000808,,osm,,,,food_bank,way/28239408
Food Bank of Alaska,,61.2230708,-149.8406655,,osm,,,https://foodbankofalaska.org/,food_bank,way/28581884
Utah Food Bank,"3150 South 900 West, South Salt Lake, UT, 84119",40.7047776,-111.9178043,,osm,UT,,https://www.utahfoodbank.org/,food_bank,way/41375738
Rhode Island Community Food Bank,"200 Niantic Avenue, Providence, RI, 02907",41.7968722,-71.4379124,,osm,RI,,,food_bank,way/43152523
Second Harvest Curtner Center,"750 Curtner Avenue, San Jose, CA, 95125",37.2916823,-121.8772065,,osm,CA,,,food_bank,way/43519110
St. Francis of Assisi Kitchen,"500 Penn Avenue, Scranton, PA",41.4131483,-75.6616863,,osm,PA,,,soup_kitchen,way/45126011
Food Bank of Central and Eastern North Carolina,"1924 Capital Boulevard, Raleigh, NC, 27604",35.8043953,-78.6152441,,osm,NC,+1-919-875-0707,https://foodbankcenc.org/,food_bank,way/47880410
Thornton United Methodist Church,"8970 Hoyt Drive, CO, 80229-7923",39.8597162,-104.9617624,,osm,CO,,,food_bank,way/48209267
Greenley Library,"Broadhollow Road, East Farmingdale, NY, 11735",40.7515261,-73.4295101,,osm,NY,,https://www.farmingdale.edu/library/index.shtml,food_bank,way/49332856
Our Daily Bread,"1730 Race Street, Cincinnati, OH, 45202",39.1152917,-84.5178843,,osm,OH,,,soup_kitchen,way/53260794
Capuchin Soup Kitchen,"Detroit, MI, 48207",42.350978,-83.0127394,,osm,MI,,,soup_kitchen,way/59153362
San Antonio Food Bank,"5200 Enrique M Barrera Parkway, San Antonio, TX, 78227",29.4174014,-98.5919162,,osm,TX,,https://safoodbank.org/,food_bank,way/80645213
joyce uptown foodshelf,"3041 Fremont Avenue South, Minneapolis, MN, 55407",44.9468465,-93.2955649,Mo 10:30-16:45; Tu 09:30-16:45; We 12:00-16:45; Th 11:00-18:45,osm,MN,+1-612-825-4431,https://www.joyceuptownfoodshelf.org,food_bank,way/89381994
Historic Wesley Center,"101 East Grant Street, Minneapolis, MN, 55403",44.9695564,-93.2760746,,osm,MN,,http://www.historicwesleycenter.org,soup_kitchen,way/92810581
Hopelink,"8990 154th Avenue Northeast, Redmond, 98052",47.6818419,-122.1342111,,osm,,+1-425-869-6000,https://www.hopelink.org/,food_bank,way/92974828
Food Pantry,1438,46.8965752,-96.7940381,,osm,,,,food_bank,way/96900785
San Francisco-Marin Food Bank,"900 Pennsylvania Avenue, San Francisco, 94107",37.7544381,-122.3935088,,osm,,+1-415-282-1900,https://www.sfmfoodbank.org/,food_bank,way/97638171
Hays County Food Bank,"220 Herndon Street, San Marcos, 78666",29.8782861,-97.9446357,,osm,,,https://haysfoodbank.org/,food_bank,way/100014314
Southwest Ozanam Center,"2145 Broadview Road, 44109",41.4377401,-81.6993832,,osm,,,,food_bank,way/100764383
Interfaith Food Ministry,440 Henderson Street,39.2142248,-121.0576128,,osm,,+1-530-273-8132,https://www.interfaithfoodministry.org/,food_bank,way/116944161
Open Arms of Minnesota,"2500 Bloomington Avenue, Minneapolis, MN, 55404",44.9570892,-93.2527385,,osm,MN,+1-612-872-1152,https://www.openarmsmn.org,food_bank,way/119610710
Wichita Center for Family & Community,"6031 Southeast King Road, Milwaukie, OR",45.4489113,-122.6014694,,osm,OR,+1 503 353 6091,https://www.nclack.k12.or.us/wichita,food_bank,way/131528299
Good Neighbor House,"627 East 1st Street, Dayton, OH, 45402",39.7646874,-84.1812776,,osm,OH,,https://goodneighborhouse.org/,food_bank,way/132755945
The Food Bank Market,"705 Business Loop 70 West, Columbia, MO, 65203",38.9672744,-92.3479912,,osm,MO,,,food_bank,way/134598531
Keystone Community Food Center,"1800 University Avenue, Saint Paul, MN, 55104",44.9553734,-93.1763376,"Mo,Tu,Th,Fr 10:00-12:00,14:00-16:00; We 16:00-19:00",osm,MN,+1 651-917-3792,https://keystoneservices.org/food-shelf,food_bank,way/134955585
Grace Community Food Pantry,,29.4988795,-81.2694489,,osm,,,,food_bank,way/135762544
Be Concerned Food Bank,,39.0756115,-84.5232957,,osm,,,,food_bank,way/141726311
Saint Patrick's Food Pantry,,42.731982,-71.3206126,,osm,,,,food_bank,way/148285085
Northampton Survival Center,265 Prospect Street,42.3298013,-72.6424267,,osm,,,,food_bank,way/150111758
Bread of Life,"720 Randall Street, Greensburg, IN, 47240",39.3346877,-85.4738197,,osm,IN,,,food_bank,way/159613204
Salvation Army,,38.0536597,-84.5057561,,osm,,,,food_bank,way/161732736
University of Oklahoma Food Pantry,"331 Cate Center Drive, 73019",35.2030824,-97.4462659,,osm,,,,food_bank,way/162151794
Food Link,108 Summer Street,42.4192777,-71.1589774,,osm,,,,food_bank,way/170278739
Food Bank For Larimer County,"1301 Blue Spruce Drive, Fort Collins, CO, 80524",40.6046806,-105.072557,"Tu, Th-Sa 10:00-15:00; We 12:00-15:00",osm,CO,+1-970-493-4477,https://foodbanklarimer.org/mobile-markets-map/,food_bank,way/172542549
Nashua Soup Kitchen & Shelter,"42 Chestnut Street, Nashua, 03060",42.758364,-71.4682684,,osm,,,https://nsks.org/,food_bank,way/180192779
Dorothy Day Food Pantry,,46.8740712,-96.7590242,,osm,,,,food_bank,way/191737068
Brown Bag Food Project,"530 Sand Ridge Road, Bowling Green, OH, 43402",41.3668974,-83.6566686,,osm,OH,+1-419-960-5345,,food_bank,way/192364230
Tombstone Community Foodbank,"15 North San Diego Street, Tombstone, AZ, 85638",31.7095806,-110.0545364,,osm,AZ,+1-520-457-3698,https://cityoftombstoneaz.gov/community-food-bank/,food_bank,way/192627706
Thurston County Food Bank,,47.0478127,-122.9000113,,osm,,,,food_bank,way/200527886
Chittenden Emergency Food Shelf,"228 North Winooski Avenue, Burlington, VT",44.4862598,-73.2093159,,osm,VT,,,food_bank,way/201651282
