route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,NJB,1,,3,,000000
2,NJB,10,,3,,000000
6,NJB,107,,3,,000000
7,NJB,108,,3,,000000
8,NJB,109,,3,,000000
9,NJB,11,,3,,000000
10,NJB,111,,3,,000000
11,NJB,112,,3,,000000
12,NJB,113,,3,,000000
13,NJB,114,,3,,000000
14,NJB,115,,3,,000000
15,NJB,116,,3,,000000
16,NJB,117,,3,,000000
17,NJB,119,,3,,000000
18,NJB,12,,3,,000000
19,NJB,120,,3,,000000
29,NJB,13,,3,,000000
39,NJB,14,,3,,000000
81,NJB,21,,3,,000000
84,NJB,24,,3,,000000
85,NJB,25,,3,,000000
86,NJB,26,,3,,000000
87,NJB,27,,3,,000000
88,NJB,28,,3,,000000
89,NJB,29,,3,,000000
90,NJB,30,,3,,000000
91,NJB,31,,3,,000000
96,NJB,319,,3,,000000
101,NJB,34,,3,,000000
104,NJB,361,,3,,000000
105,NJB,37,,3,,000000
106,NJB,375,,3,,000000
107,NJB,378,,3,,000000
108,NJB,39,,3,,000000
109,NJB,40,,3,,000000
120,NJB,41,,3,,000000
128,NJB,44,,3,,000000
138,NJB,48,,3,,000000
139,NJB,5,,3,,000000
148,NJB,52,,3,,000000
155,NJB,56,,3,,000000
156,NJB,57,,3,,000000
157,NJB,58,,3,,000000
158,NJB,59,,3,,000000
173,NJB,62,,3,,000000
177,NJB,65,,3,,000000
178,NJB,66,,3,,000000
179,NJB,67,,3,,000000
181,NJB,70,,3,,000000
188,NJB,71,,3,,000000
190,NJB,72,,3,,000000
192,NJB,73,,3,,000000
203,NJB,76,,3,,000000
207,NJB,78,,3,,000000
209,NJB,79,,3,,000000
211,NJB,80,,3,,000000
212,NJB,801,,3,,000000
213,NJB,802,,3,,000000
214,NJB,803,,3,,000000
215,NJB,804,,3,,000000
216,NJB,805,,3,,000000
217,NJB,81,,3,,000000
218,NJB,810,,3,,000000
222,NJB,815,,3,,000000
225,NJB,819,,3,,000000
227,NJB,822,,3,,000000
242,NJB,873,,3,,000000
251,NJB,9,,3,,000000
252,NJB,90,,3,,000000
253,NJB,92,,3,,000000
254,NJB,94,,3,,000000
255,NJB,96,,3,,000000
257,NJB,986,,3,,000000
258,NJB,99,,3,,000000
262,NJB,GO25,,3,,000000
263,NJB,GO28,,3,,000000
